countries_and_territories,country_territory_code,month,pop_data_2019,new_confirmed_cases,new_daily_deaths,confirmed_cases,deaths
Finland,FIN,10,5517919,6018,15,15910,358
Finland,FIN,11,5517919,3405,11,19315,369
Fiji,FJI,3,889955,5,0,5,0
Fiji,FJI,4,889955,13,0,18,0
Fiji,FJI,5,889955,0,0,18,0
Fiji,FJI,6,889955,0,0,18,0
Fiji,FJI,7,889955,9,0,27,0
Fiji,FJI,8,889955,1,2,28,2
Fiji,FJI,9,889955,4,0,32,2
Fiji,FJI,10,889955,2,0,34,2
Fiji,FJI,11,889955,1,0,35,2
Falkland_Islands_(Malvinas),FLK,4,3372,13,0,13,0
Falkland_Islands_(Malvinas),FLK,5,3372,0,0,13,0
Falkland_Islands_(Malvinas),FLK,6,3372,0,0,13,0
Falkland_Islands_(Malvinas),FLK,7,3372,0,0,13,0
Falkland_Islands_(Malvinas),FLK,8,3372,0,0,13,0
Falkland_Islands_(Malvinas),FLK,9,3372,0,0,13,0
Falkland_Islands_(Malvinas),FLK,10,3372,0,0,13,0
Falkland_Islands_(Malvinas),FLK,11,3372,2,0,15,0
Faroe_Islands,FRO,3,48677,168,0,168,0
Faroe_Islands,FRO,4,48677,19,0,187,0
Faroe_Islands,FRO,5,48677,0,0,187,0
Faroe_Islands,FRO,6,48677,0,0,187,0
Faroe_Islands,FRO,7,48677,33,0,220,0
Faroe_Islands,FRO,8,48677,191,0,411,0
Faroe_Islands,FRO,9,48677,52,0,463,0
Faroe_Islands,FRO,10,48677,31,0,494,0
Faroe_Islands,FRO,11,48677,4,0,498,0
France,FRA,1,67012883,6,0,6,0
France,FRA,2,67012883,51,2,57,2
Gabon,GAB,3,2172578,7,1,7,1
Gabon,GAB,4,2172578,269,2,276,3
Gabon,GAB,5,2172578,2379,14,2655,17
Gabon,GAB,6,2172578,2739,25,5394,42
Gabon,GAB,7,2172578,1958,7,7352,49
Gabon,GAB,8,2172578,1153,4,8505,53
Gabon,GAB,9,2172578,247,1,8752,54
Gabon,GAB,10,2172578,216,1,8968,55
Gabon,GAB,11,2172578,94,3,9062,58
Grenada,GRD,3,112002,9,0,9,0
Grenada,GRD,4,112002,11,0,20,0
Grenada,GRD,5,112002,3,0,23,0
Grenada,GRD,6,112002,0,0,23,0
Grenada,GRD,7,112002,1,0,24,0
Grenada,GRD,8,112002,0,0,24,0
Grenada,GRD,9,112002,0,0,24,0
Grenada,GRD,10,112002,4,0,28,0
Grenada,GRD,11,112002,4,0,32,0
Georgia,GEO,1,3996762,0,0,0,0
Georgia,GEO,2,3996762,2,0,2,0
Georgia,GEO,3,3996762,96,0,98,0
Georgia,GEO,4,3996762,419,6,517,6
Georgia,GEO,5,3996762,240,6,757,12
Georgia,GEO,6,3996762,171,3,928,15
Georgia,GEO,7,3996762,232,2,1160,17
Georgia,GEO,8,3996762,327,2,1487,19
Georgia,GEO,9,3996762,4379,14,5866,33
Guernsey,GGY,3,64468,45,0,45,0
Guernsey,GGY,4,64468,206,13,251,13
Guernsey,GGY,5,64468,1,0,252,13
Guernsey,GGY,6,64468,0,0,252,13
Guernsey,GGY,7,64468,0,0,252,13
Guernsey,GGY,8,64468,0,0,252,13
Guernsey,GGY,9,64468,4,0,256,13
Guernsey,GGY,10,64468,11,0,267,13
Guernsey,GGY,11,64468,15,0,282,13
Ghana,GHA,3,30417858,152,5,152,5
Ghana,GHA,4,30417858,1519,11,1671,16
Ghana,GHA,5,30417858,6097,19,7768,35
Ghana,GHA,7,30417858,17791,63,35142,175
Ghana,GHA,8,30417858,9063,101,44205,276
Ghana,GHA,9,30417858,2277,25,46482,301
Ghana,GHA,10,30417858,1573,19,48055,320
Ghana,GHA,11,30417858,2068,2,50123,322
Gibraltar,GIB,3,33706,69,0,69,0
Gibraltar,GIB,4,33706,72,0,141,0
Gibraltar,GIB,5,33706,20,0,161,0
Gibraltar,GIB,6,33706,16,0,177,0
Gibraltar,GIB,7,33706,10,0,187,0
Gibraltar,GIB,8,33706,98,0,285,0
Gibraltar,GIB,9,33706,106,0,391,0
Gibraltar,GIB,10,33706,302,0,693,0
Gibraltar,GIB,11,33706,209,1,902,1
Greenland,GRL,3,56660,10,0,10,0
Greenland,GRL,4,56660,1,0,11,0
Greenland,GRL,5,56660,2,0,13,0
Greenland,GRL,6,56660,0,0,13,0
Greenland,GRL,7,56660,1,0,14,0
Greenland,GRL,8,56660,0,0,14,0
Greenland,GRL,9,56660,0,0,14,0
Greenland,GRL,10,56660,3,0,17,0
Greenland,GRL,11,56660,0,0,17,0
Gambia,GMB,3,2347696,4,1,4,1
Gambia,GMB,4,2347696,7,0,11,1
Gambia,GMB,5,2347696,14,0,25,1
Gambia,GMB,6,2347696,22,1,47,2
Gambia,GMB,7,2347696,356,6,403,8
Gambia,GMB,9,2347696,616,16,3579,112
Gambia,GMB,10,2347696,91,7,3670,119
Gambia,GMB,11,2347696,32,3,3702,122
Guinea,GIN,3,12771246,16,0,16,0
Guinea,GIN,4,12771246,1335,7,1351,7
Guinea,GIN,5,12771246,2355,16,3706,23
Guinea,GIN,6,12771246,1645,8,5351,31
Guinea,GIN,7,12771246,1891,15,7242,46
Guinea,GIN,8,12771246,2129,13,9371,59
Guinea,GIN,9,12771246,1263,7,10634,66
Guinea,GIN,10,12771246,1438,6,12072,72
Guinea,GIN,11,12771246,539,3,12611,75
Equatorial_Guinea,GNQ,3,1355982,14,0,14,0
Equatorial_Guinea,GNQ,4,1355982,301,1,315,1
Equatorial_Guinea,GNQ,5,1355982,991,11,1306,12
Equatorial_Guinea,GNQ,9,1355982,89,0,5030,83
Equatorial_Guinea,GNQ,10,1355982,58,0,5088,83
Equatorial_Guinea,GNQ,11,1355982,16,2,5104,85
Guatemala,GTM,3,17581476,36,1,36,1
Guatemala,GTM,4,17581476,549,15,585,16
Guatemala,GTM,5,17581476,4154,86,4739,102
Guam,GUM,3,167295,60,1,60,1
Guam,GUM,4,167295,85,4,145,5
Guam,GUM,5,167295,28,0,173,5
Guam,GUM,6,167295,84,0,257,5
Guam,GUM,7,167295,99,0,356,5
Guam,GUM,8,167295,991,5,1347,10
Guam,GUM,9,167295,1096,37,2443,47
Guam,GUM,10,167295,2238,32,4681,79
Guam,GUM,11,167295,1440,19,6121,98
Guinea_Bissau,GNB,3,1920917,2,0,2,0
Guinea_Bissau,GNB,4,1920917,75,1,77,1
Guinea_Bissau,GNB,5,1920917,1179,7,1256,8
Guinea_Bissau,GNB,6,1920917,358,13,1614,21
Guinea_Bissau,GNB,7,1920917,367,5,1981,26
Guinea_Bissau,GNB,8,1920917,224,8,2205,34
Guinea_Bissau,GNB,9,1920917,119,5,2324,39
Guinea_Bissau,GNB,10,1920917,79,2,2403,41
Guinea_Bissau,GNB,11,1920917,16,2,2419,43
Guyana,GUY,3,782775,8,1,8,1
Guyana,GUY,4,782775,70,7,78,8
Guyana,GUY,5,782775,74,4,152,12
Guyana,GUY,6,782775,83,0,235,12
Guyana,GUY,7,782775,166,8,401,20
Guyana,GUY,8,782775,833,17,1234,37
Guyana,GUY,9,782775,1612,41,2846,78
Guyana,GUY,10,782775,1297,46,4143,124
Guyana,GUY,11,782775,680,15,4823,139
Honduras,HND,3,9746115,141,7,141,7
Honduras,HND,4,9746115,630,64,771,71
Honduras,HND,5,9746115,4323,130,5094,201
Croatia,HRV,1,4076246,0,0,0,0
Croatia,HRV,2,4076246,5,0,5,0
Croatia,HRV,3,4076246,785,6,790,6
Croatia,HRV,4,4076246,1272,61,2062,67
Croatia,HRV,5,4076246,184,36,2246,103
Croatia,HRV,6,4076246,479,4,2725,107
Croatia,HRV,7,4076246,2346,37,5071,144
Croatia,HRV,8,4076246,5052,40,10123,184
Croatia,HRV,9,4076246,6257,91,16380,275
Haiti,HTI,3,11263079,15,0,15,0
Haiti,HTI,4,11263079,61,6,76,6
Haiti,HTI,5,11263079,1789,35,1865,41
Haiti,HTI,6,11263079,4068,64,5933,105
Haiti,HTI,7,11263079,1479,56,7412,161
Haiti,HTI,8,11263079,797,40,8209,201
Haiti,HTI,9,11263079,538,28,8747,229
Haiti,HTI,10,11263079,307,3,9054,232
Haiti,HTI,11,11263079,125,0,9179,232
Hungary,HUN,3,9772756,492,16,492,16
Hungary,HUN,5,9772756,1092,212,3867,524
Hungary,HUN,6,9772756,278,61,4145,585
Hungary,HUN,7,9772756,360,11,4505,596
Hungary,HUN,8,9772756,1456,18,5961,614
Hungary,HUN,9,9772756,20500,151,26461,765
Indonesia,IDN,1,270625567,0,0,0,0
Indonesia,IDN,2,270625567,0,0,0,0
Ireland,IRL,1,4904240,0,0,0,0
Ireland,IRL,2,4904240,0,0,0,0
Ireland,IRL,6,4904240,533,85,25462,1735
Ireland,IRL,7,4904240,565,28,26027,1763
Ireland,IRL,8,4904240,2733,14,28760,1777
Ireland,IRL,9,4904240,6980,26,35740,1803
Israel,ISR,1,8519373,0,0,0,0
Israel,ISR,2,8519373,7,0,7,0
Israel,ISR,3,8519373,4466,17,4473,17
Israel,ISR,5,8519373,1178,69,17012,284
Israel,ISR,6,8519373,7429,35,24441,319
Isle_of_Man,IMN,3,84589,42,0,42,0
Isle_of_Man,IMN,4,84589,271,21,313,21
Isle_of_Man,IMN,5,84589,23,3,336,24
Isle_of_Man,IMN,6,84589,0,0,336,24
Isle_of_Man,IMN,7,84589,0,0,336,24
Isle_of_Man,IMN,8,84589,0,0,336,24
Isle_of_Man,IMN,9,84589,4,0,340,24
Isle_of_Man,IMN,10,84589,13,0,353,24
Isle_of_Man,IMN,11,84589,10,1,363,25
India,IND,1,1366417756,1,0,1,0
India,IND,2,1366417756,2,0,3,0
India,IND,3,1366417756,1248,32,1251,32
Iraq,IRQ,1,39309789,0,0,0,0
Iraq,IRQ,2,39309789,7,0,7,0
Iraq,IRQ,3,39309789,623,46,630,46
Iraq,IRQ,4,39309789,1373,46,2003,92
Iraq,IRQ,5,39309789,4176,103,6179,195
Iran,IRN,1,82913893,0,0,0,0
Iran,IRN,2,82913893,388,34,388,34
Iceland,ISL,1,356991,0,0,0,0
Iceland,ISL,2,356991,1,0,1,0
Iceland,ISL,3,356991,1085,2,1086,2
Iceland,ISL,4,356991,711,8,1797,10
Iceland,ISL,5,356991,9,0,1806,10
Iceland,ISL,6,356991,16,0,1822,10
Iceland,ISL,7,356991,50,0,1872,10
Iceland,ISL,8,356991,233,0,2105,10
Iceland,ISL,9,356991,590,0,2695,10
Iceland,ISL,10,356991,2102,2,4797,12
Iceland,ISL,11,356991,392,13,5189,25
Italy,ITA,1,60359546,3,0,3,0
Italy,ITA,2,60359546,885,21,888,21
Jersey,JEY,3,107796,63,2,63,2
Jersey,JEY,4,107796,223,19,286,21
Jersey,JEY,5,107796,22,8,308,29
Jersey,JEY,6,107796,11,2,319,31
Jersey,JEY,7,107796,16,0,335,31
Jersey,JEY,8,107796,39,1,374,32
Jersey,JEY,9,107796,35,0,409,32
Jersey,JEY,10,107796,165,0,574,32
Jersey,JEY,11,107796,158,0,732,32
Jamaica,JAM,3,2948277,38,1,38,1
Jamaica,JAM,4,2948277,358,6,396,7
Jamaica,JAM,5,2948277,185,2,581,9
Jamaica,JAM,6,2948277,117,1,698,10
Jamaica,JAM,7,2948277,166,0,864,10
Jamaica,JAM,8,2948277,1493,11,2357,21
Jamaica,JAM,9,2948277,4025,79,6382,100
Jamaica,JAM,10,2948277,2623,105,9005,205
Jamaica,JAM,11,2948277,879,26,9884,231
Jordan,JOR,3,10101697,268,5,268,5
Jordan,JOR,4,10101697,183,3,451,8
Jordan,JOR,5,10101697,283,1,734,9
Jordan,JOR,6,10101697,394,0,1128,9
Jordan,JOR,7,10101697,63,2,1223,11
Jordan,JOR,8,10101697,775,4,1966,15
Jordan,JOR,9,10101697,8083,42,10049,57
Japan,JPN,1,126860299,14,0,14,0
Japan,JPN,2,126860299,216,3,230,3
Japan,JPN,3,126860299,1723,53,1953,56
Japan,JPN,7,126860299,15181,33,33774,1005
Cases_on_an_international_conveyance_Japan,,1,,0,0,0,0
Cases_on_an_international_conveyance_Japan,,2,,705,6,705,6
Cases_on_an_international_conveyance_Japan,,3,,-9,1,705,7
Kenya,KEN,3,52573967,50,1,50,1
Kenya,KEN,4,52573967,334,14,384,15
Kenya,KEN,5,52573967,1504,48,1888,63
Kenya,KEN,9,52573967,4321,133,38378,707
Kyrgyzstan,KGZ,3,6415851,84,0,84,0
Kyrgyzstan,KGZ,4,6415851,662,8,746,8
Kyrgyzstan,KGZ,5,6415851,1002,8,1748,16
Kyrgyzstan,KGZ,6,6415851,3548,41,5296,57
Kyrgyzstan,KGZ,9,6415851,2771,6,46669,1064
Kyrgyzstan,KGZ,10,6415851,12209,81,58878,1145
Cambodia,KHM,1,16486542,1,0,1,0
Cambodia,KHM,2,16486542,0,0,1,0
Cambodia,KHM,3,16486542,108,0,109,0
Cambodia,KHM,4,16486542,13,0,122,0
Cambodia,KHM,5,16486542,3,0,125,0
Cambodia,KHM,6,16486542,16,0,141,0
Cambodia,KHM,7,16486542,93,0,234,0
Cambodia,KHM,8,16486542,40,0,274,0
Cambodia,KHM,9,16486542,3,0,277,0
Cambodia,KHM,10,16486542,13,0,290,0
Cambodia,KHM,11,16486542,12,0,302,0
Comoros,COM,5,850891,106,2,106,2
Comoros,COM,6,850891,166,5,272,7
Comoros,COM,7,850891,106,0,378,7
Comoros,COM,8,850891,45,0,423,7
Comoros,COM,9,850891,56,0,479,7
Comoros,COM,10,850891,58,0,537,7
Comoros,COM,11,850891,42,0,579,7
Saint_Kitts_and_Nevis,KNA,3,52834,7,0,7,0
Saint_Kitts_and_Nevis,KNA,4,52834,8,0,15,0
Saint_Kitts_and_Nevis,KNA,5,52834,0,0,15,0
Saint_Kitts_and_Nevis,KNA,6,52834,0,0,15,0
Saint_Kitts_and_Nevis,KNA,7,52834,2,0,17,0
Saint_Kitts_and_Nevis,KNA,8,52834,0,0,17,0
Saint_Kitts_and_Nevis,KNA,9,52834,2,0,19,0
Saint_Kitts_and_Nevis,KNA,10,52834,0,0,19,0
Saint_Kitts_and_Nevis,KNA,11,52834,0,0,19,0
South_Korea,KOR,1,51225321,7,0,7,0
South_Korea,KOR,2,51225321,2924,16,2931,16
South_Korea,KOR,3,51225321,6855,147,9786,163
South_Korea,KOR,4,51225321,979,84,10765,247
South_Korea,KOR,5,51225321,703,23,11468,270
South_Korea,KOR,6,51225321,1332,12,12800,282
South_Korea,KOR,7,51225321,1505,19,14305,301
South_Korea,KOR,8,51225321,5642,23,19947,324
South_Korea,KOR,9,51225321,3865,89,23812,413
South_Korea,KOR,10,51225321,2699,51,26511,464
South_Korea,KOR,11,51225321,2258,30,28769,494
Kuwait,KWT,1,4207077,0,0,0,0
Kuwait,KWT,2,4207077,45,0,45,0
Kuwait,KWT,3,4207077,221,0,266,0
Kuwait,KWT,4,4207077,3474,24,3740,24
Kuwait,KWT,5,4207077,22452,181,26192,205
Kuwait,KWT,7,4207077,21005,95,66529,445
Kuwait,KWT,8,4207077,18107,85,84636,530
Cayman_Islands,CYM,3,64948,12,1,12,1
Cayman_Islands,CYM,4,64948,61,0,73,1
Cayman_Islands,CYM,5,64948,68,0,141,1
Cayman_Islands,CYM,6,64948,58,0,199,1
Cayman_Islands,CYM,7,64948,4,0,203,1
Cayman_Islands,CYM,8,64948,2,0,205,1
Cayman_Islands,CYM,9,64948,6,0,211,1
Cayman_Islands,CYM,10,64948,29,0,240,1
Cayman_Islands,CYM,11,64948,14,0,254,1
Kazakhstan,KAZ,3,18551428,325,1,325,1
Kazakhstan,KAZ,4,18551428,2880,24,3205,25
Kazakhstan,KAZ,5,18551428,7653,13,10858,38
Laos,LAO,3,7169456,9,0,9,0
Laos,LAO,4,7169456,10,0,19,0
Laos,LAO,5,7169456,0,0,19,0
Laos,LAO,6,7169456,0,0,19,0
Laos,LAO,7,7169456,1,0,20,0
Laos,LAO,8,7169456,2,0,22,0
Laos,LAO,9,7169456,1,0,23,0
Laos,LAO,10,7169456,1,0,24,0
Laos,LAO,11,7169456,0,0,24,0
Lebanon,LBN,1,6855709,0,0,0,0
Lebanon,LBN,2,6855709,3,0,3,0
Lebanon,LBN,3,6855709,443,11,446,11
Lebanon,LBN,4,6855709,275,13,721,24
Lebanon,LBN,5,6855709,470,2,1191,26
Lebanon,LBN,6,6855709,554,8,1745,34
Lebanon,LBN,7,6855709,2589,23,4334,57
Lebanon,LBN,8,6855709,12536,103,16870,160
Saint_Lucia,LCA,3,182795,9,0,9,0
Saint_Lucia,LCA,4,182795,8,0,17,0
Saint_Lucia,LCA,5,182795,1,0,18,0
Saint_Lucia,LCA,6,182795,1,0,19,0
Saint_Lucia,LCA,7,182795,6,0,25,0
Saint_Lucia,LCA,8,182795,1,0,26,0
Saint_Lucia,LCA,9,182795,1,0,27,0
Saint_Lucia,LCA,10,182795,51,0,78,0
Saint_Lucia,LCA,11,182795,93,2,171,2
Liechtenstein,LIE,3,38378,64,0,64,0
Liechtenstein,LIE,4,38378,19,1,83,1
Liechtenstein,LIE,5,38378,0,0,83,1
Liechtenstein,LIE,6,38378,0,0,83,1
Liechtenstein,LIE,7,38378,6,0,89,1
Liechtenstein,LIE,8,38378,19,0,108,1
Liechtenstein,LIE,9,38378,12,0,120,1
Liechtenstein,LIE,10,38378,403,1,523,2
Liechtenstein,LIE,11,38378,462,2,985,4
Sri_Lanka,LKA,1,21323734,1,0,1,0
Sri_Lanka,LKA,2,21323734,0,0,1,0
Sri_Lanka,LKA,3,21323734,119,1,120,1
Sri_Lanka,LKA,4,21323734,529,6,649,7
Sri_Lanka,LKA,5,21323734,971,3,1620,10
Sri_Lanka,LKA,6,21323734,422,1,2042,11
Sri_Lanka,LKA,7,21323734,772,0,2814,11
Sri_Lanka,LKA,8,21323734,198,1,3012,12
Sri_Lanka,LKA,9,21323734,362,1,3374,13
Sri_Lanka,LKA,10,21323734,7050,6,10424,19
Sri_Lanka,LKA,11,21323734,6863,39,17287,58
Liberia,LBR,3,4937374,3,0,3,0
Liberia,LBR,4,4937374,138,16,141,16
Liberia,LBR,5,4937374,139,11,280,27
Liberia,LBR,6,4937374,490,9,770,36
Liberia,LBR,8,4937374,123,9,1304,82
Liberia,LBR,9,4937374,39,0,1343,82
Liberia,LBR,10,4937374,83,0,1426,82
Liberia,LBR,11,4937374,81,0,1507,82
Lesotho,LSO,5,2125267,2,0,2,0
Lesotho,LSO,6,2125267,25,0,27,0
Lesotho,LSO,7,2125267,577,13,604,13
Lesotho,LSO,8,2125267,462,18,1066,31
Lesotho,LSO,9,2125267,510,4,1576,35
Lesotho,LSO,10,2125267,371,8,1947,43
Lesotho,LSO,11,2125267,94,1,2041,44
Lithuania,LTU,1,2794184,0,0,0,0
Lithuania,LTU,2,2794184,1,0,1,0
Lithuania,LTU,3,2794184,483,7,484,7
Lithuania,LTU,4,2794184,891,38,1449,45
Lithuania,LTU,5,2794184,295,25,1670,70
Lithuania,LTU,6,2794184,146,8,1816,78
Lithuania,LTU,7,2794184,246,2,2062,80
Lithuania,LTU,8,2794184,812,6,2874,86
Lithuania,LTU,9,2794184,1704,6,4578,92
Lithuania,LTU,10,2794184,9245,65,13823,157
Luxembourg,LUX,1,613894,0,0,0,0
Luxembourg,LUX,2,613894,0,0,0,0
Luxembourg,LUX,3,613894,1988,22,1988,22
Luxembourg,LUX,4,613894,1781,67,3769,89
Luxembourg,LUX,5,613894,247,21,4016,110
Luxembourg,LUX,6,613894,240,0,4256,110
Luxembourg,LUX,7,613894,2360,4,6616,114
Luxembourg,LUX,8,613894,9,10,7928,124
Luxembourg,LUX,9,613894,1806,0,8431,124
Luxembourg,LUX,10,613894,8703,28,17134,152
Luxembourg,LUX,11,613894,9410,70,26544,222
Latvia,LVA,3,1919968,376,0,376,0
Latvia,LVA,4,1919968,473,15,849,15
Latvia,LVA,5,1919968,216,9,1065,24
Latvia,LVA,6,1919968,52,6,1117,30
Latvia,LVA,7,1919968,111,1,1228,31
Latvia,LVA,8,1919968,165,3,1393,34
Latvia,LVA,9,1919968,336,3,1729,37
Latvia,LVA,10,1919968,3950,32,5679,69
Latvia,LVA,11,1919968,4868,54,10547,123
Libya,LBY,3,6777453,8,0,8,0
Libya,LBY,4,6777453,53,2,61,2
Libya,LBY,5,6777453,69,3,130,5
Libya,LBY,6,6777453,632,16,762,21
Libya,LBY,7,6777453,2460,50,3222,71
Libya,LBY,8,6777453,10201,161,13423,232
Morocco,MAR,3,36471766,556,33,556,33
Morocco,MAR,5,36471766,3459,36,7780,204
Morocco,MAR,6,36471766,4510,21,12290,225
Morocco,MAR,7,36471766,10969,121,23259,346
Monaco,MCO,1,33085,0,0,0,0
Monaco,MCO,2,33085,1,0,1,0
Monaco,MCO,3,33085,35,0,36,0
Monaco,MCO,4,33085,30,1,66,1
Monaco,MCO,5,33085,1,0,67,1
Monaco,MCO,6,33085,3,0,70,1
Monaco,MCO,7,33085,14,0,84,1
Monaco,MCO,8,33085,47,0,131,1
Monaco,MCO,9,33085,83,0,214,1
Monaco,MCO,10,33085,141,0,355,1
Monaco,MCO,11,33085,193,0,548,1
Moldova,MDA,3,4043258,298,2,298,2
Moldova,MDA,4,4043258,3473,109,3771,111
Montenegro,MNE,3,622182,91,1,91,1
Montenegro,MNE,4,622182,231,6,322,7
Montenegro,MNE,5,622182,2,2,324,9
Montenegro,MNE,6,622182,177,2,501,11
Montenegro,MNE,7,622182,2572,37,3073,48
Montenegro,MNE,8,622182,1717,50,4790,98
Montenegro,MNE,9,622182,5785,66,10575,164
Montenegro,MNE,11,622182,9111,97,27177,391
Madagascar,MDG,3,26969306,44,0,44,0
Madagascar,MDG,4,26969306,84,0,128,0
Madagascar,MDG,5,26969306,630,6,758,6
Madagascar,MDG,6,26969306,1380,14,2138,20
Madagascar,MDG,7,26969306,8610,85,10748,105
Madagascar,MDG,8,26969306,4095,86,14843,191
Madagascar,MDG,9,26969306,1534,38,16377,229
Madagascar,MDG,10,26969306,591,15,16968,244
Madagascar,MDG,11,26969306,265,5,17233,249
Marshall_Islands,MHL,10,58791,1,0,1,0
Marshall_Islands,MHL,11,58791,0,0,1,0
North_Macedonia,MKD,1,2077132,0,0,0,0
North_Macedonia,MKD,2,2077132,1,0,1,0
North_Macedonia,MKD,3,2077132,284,7,285,7
North_Macedonia,MKD,4,2077132,1157,66,1442,73
North_Macedonia,MKD,5,2077132,722,58,2164,131
North_Macedonia,MKD,8,2077132,3304,104,13927,584
Mali,MLI,3,19658023,18,0,18,0
Mali,MLI,4,19658023,464,25,482,25
Mali,MLI,5,19658023,768,51,1250,76
Mali,MLI,6,19658023,923,39,2173,115
Mali,MLI,7,19658023,349,9,2522,124
Mali,MLI,8,19658023,251,2,2773,126
Mali,MLI,9,19658023,317,4,3090,130
Mali,MLI,10,19658023,455,6,3545,136
Mali,MLI,11,19658023,323,3,3868,139
Myanmar,MMR,3,54045422,14,0,14,0
Myanmar,MMR,4,54045422,136,6,150,6
Myanmar,MMR,5,54045422,74,0,224,6
Myanmar,MMR,6,54045422,75,0,299,6
Myanmar,MMR,7,54045422,54,0,353,6
Myanmar,MMR,8,54045422,434,0,787,6
Mongolia,MNG,3,3225166,12,0,12,0
Mongolia,MNG,4,3225166,26,0,38,0
Mongolia,MNG,5,3225166,141,0,179,0
Mongolia,MNG,6,3225166,41,0,220,0
Mongolia,MNG,7,3225166,71,0,291,0
Mongolia,MNG,8,3225166,10,0,301,0
Mongolia,MNG,9,3225166,12,0,313,0
Mongolia,MNG,10,3225166,33,0,346,0
Mongolia,MNG,11,3225166,85,0,431,0
Northern_Mariana_Islands,MNP,3,57213,2,0,2,0
Northern_Mariana_Islands,MNP,4,57213,12,2,14,2
Northern_Mariana_Islands,MNP,5,57213,8,0,22,2
Northern_Mariana_Islands,MNP,6,57213,8,0,30,2
Northern_Mariana_Islands,MNP,7,57213,12,0,42,2
Northern_Mariana_Islands,MNP,8,57213,14,0,56,2
Northern_Mariana_Islands,MNP,9,57213,14,0,70,2
Northern_Mariana_Islands,MNP,10,57213,22,0,92,2
Northern_Mariana_Islands,MNP,11,57213,10,0,102,2
Mauritania,MRT,3,4525698,5,0,5,0
Mauritania,MRT,4,4525698,2,1,7,1
Mauritania,MRT,5,4525698,476,20,483,21
Mauritania,MRT,7,4525698,2121,30,6270,156
Mauritania,MRT,8,4525698,752,3,7022,159
Mauritania,MRT,9,4525698,452,2,7474,161
Mauritania,MRT,10,4525698,203,2,7677,163
Mauritania,MRT,11,4525698,208,2,7885,165
Montserrat,MSF,3,4991,5,0,5,0
Montserrat,MSF,4,4991,6,1,11,1
Montserrat,MSF,5,4991,0,0,11,1
Montserrat,MSF,6,4991,0,0,11,1
Montserrat,MSF,7,4991,2,0,13,1
Montserrat,MSF,8,4991,0,0,13,1
Montserrat,MSF,9,4991,0,0,13,1
Montserrat,MSF,10,4991,0,0,13,1
Montserrat,MSF,11,4991,0,0,13,1
Malta,MLT,3,493559,156,0,156,0
Malta,MLT,4,493559,306,4,462,4
Malta,MLT,5,493559,155,5,617,9
Malta,MLT,6,493559,52,0,669,9
Malta,MLT,7,493559,58,0,727,9
Malta,MLT,8,493559,1137,2,1864,11
Malta,MLT,9,493559,1171,23,3035,34
Malta,MLT,10,493559,2907,27,5942,61
Malta,MLT,11,493559,1975,34,7917,95
Mauritius,MUS,3,1269670,128,3,128,3
Mauritius,MUS,4,1269670,204,7,332,10
Mauritius,MUS,5,1269670,3,0,335,10
Mauritius,MUS,6,1269670,6,0,341,10
Mauritius,MUS,7,1269670,3,0,344,10
Mauritius,MUS,8,1269670,2,0,346,10
Mauritius,MUS,9,1269670,35,0,381,10
Mauritius,MUS,10,1269670,60,0,441,10
Mauritius,MUS,11,1269670,37,0,478,10
Maldives,MDV,3,530957,17,0,17,0
Maldives,MDV,4,530957,260,0,277,0
Maldives,MDV,5,530957,1395,5,1672,5
Maldives,MDV,6,530957,664,3,2336,8
Maldives,MDV,7,530957,1383,8,3719,16
Maldives,MDV,8,530957,3948,12,7667,28
Maldives,MDV,9,530957,2527,6,10194,34
Maldives,MDV,10,530957,1449,3,11643,37
Maldives,MDV,11,530957,561,6,12204,43
Malawi,MWI,4,18628749,36,3,36,3
Malawi,MWI,5,18628749,243,1,279,4
Malawi,MWI,6,18628749,945,10,1224,14
Malawi,MWI,7,18628749,2757,95,3981,109
Malawi,MWI,8,18628749,1555,65,5536,174
Malawi,MWI,9,18628749,236,5,5772,179
Malawi,MWI,10,18628749,151,5,5923,184
Malawi,MWI,11,18628749,42,1,5965,185
Mexico,MEX,1,127575529,2,0,2,0
Mexico,MEX,2,127575529,12,0,14,0
Mexico,MEX,3,127575529,2432,28,2446,28
Malaysia,MYS,1,31949789,8,0,8,0
Malaysia,MYS,2,31949789,17,0,25,0
Malaysia,MYS,3,31949789,2601,37,2626,37
Malaysia,MYS,4,31949789,3319,63,5945,100
Malaysia,MYS,5,31949789,1817,15,7762,115
Malaysia,MYS,6,31949789,875,6,8637,121
Malaysia,MYS,7,31949789,327,3,8964,124
Malaysia,MYS,8,31949789,370,2,9334,126
Malaysia,MYS,9,31949789,1801,8,11135,134
Malaysia,MYS,10,31949789,19764,115,30899,249
Malaysia,MYS,11,31949789,16518,60,47417,309
Mozambique,MOZ,3,30366043,8,0,8,0
Mozambique,MOZ,4,30366043,68,0,76,0
Mozambique,MOZ,5,30366043,168,2,244,2
Mozambique,MOZ,6,30366043,639,4,883,6
Mozambique,MOZ,7,30366043,925,5,1808,11
Mozambique,MOZ,8,30366043,2013,12,3821,23
Mozambique,MOZ,9,30366043,4735,36,8556,59
Mozambique,MOZ,10,30366043,4221,32,12777,91
Mozambique,MOZ,11,30366043,1671,22,14448,113
Namibia,NAM,3,2494524,11,0,11,0
Namibia,NAM,4,2494524,5,0,16,0
